City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Beringovskiy,RU,63.05,179.3167,40.95,80,100,10.89,overcast clouds
80,Severo-Yeniseyskiy,RU,60.3725,93.0408,25.66,90,100,5.26,overcast clouds
81,Bandrele,YT,-12.9067,45.1914,73.15,83,0,2.3,clear sky
82,Norman Wells,CA,65.282,-126.8329,32.04,93,75,6.91,broken clouds
83,Denizli,TR,37.8402,29.0698,68.5,66,25,6.2,scattered clouds
84,Oborniki,PL,52.6474,16.8141,51.17,87,6,12.97,clear sky
85,Iqaluit,CA,63.7506,-68.5145,33.53,64,75,15.01,broken clouds
86,Bredasdorp,ZA,-34.5322,20.0403,54.75,88,2,6.42,clear sky
87,Pio Xii,BR,-3.8325,-45.1525,99.75,23,60,3.0,broken clouds
88,Rikitea,PF,-23.1203,-134.9692,73.99,69,0,5.68,clear sky
89,Portland,US,45.5234,-122.6762,85.33,49,0,8.05,clear sky
90,Carnarvon,AU,-24.8667,113.6333,66.33,60,0,13.62,clear sky
91,Novyy Urengoy,RU,66.0833,76.6333,33.53,72,100,12.46,overcast clouds
92,Khatanga,RU,71.9667,102.5,21.85,96,100,9.89,overcast clouds
93,Whittlesea,ZA,-32.1759,26.8244,69.71,20,0,4.14,clear sky
94,Saldanha,ZA,-33.0117,17.9442,57.25,81,0,5.64,clear sky
95,Darab,IR,28.7519,54.5444,76.66,43,3,3.09,clear sky
96,Esperance,AU,-33.8667,121.9,53.37,79,81,17.43,broken clouds
97,Upernavik,GL,72.7868,-56.1549,22.39,87,12,10.42,few clouds
98,Mahebourg,MU,-20.4081,57.7,71.89,68,75,9.22,broken clouds
99,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,100,8.05,overcast clouds
100,Port Alfred,ZA,-33.5906,26.891,65.17,94,0,1.99,clear sky
101,Chubbuck,US,42.9208,-112.4661,71.15,42,0,3.0,clear sky
102,Saskylakh,RU,71.9167,114.0833,25.32,94,100,14.81,overcast clouds
103,Cherskiy,RU,68.75,161.3,26.74,94,100,10.67,overcast clouds
104,Chokurdakh,RU,70.6333,147.9167,16.74,91,89,7.07,overcast clouds
105,Mosquera,CO,4.7059,-74.2302,64.49,48,75,11.5,broken clouds
106,Kyzyl-Suu,KG,42.3414,78.0056,47.08,49,48,3.33,scattered clouds
107,Sinnamary,GF,5.3833,-52.95,83.46,73,97,10.94,overcast clouds
108,Palmer,US,42.1584,-72.3287,56.62,47,75,13.8,broken clouds
109,Mar Del Plata,AR,-38.0023,-57.5575,55.42,71,0,18.41,light rain
110,Lusambo,CD,-4.9667,23.45,69.53,94,78,2.59,broken clouds
111,Victoria,HK,22.2855,114.1577,83.32,84,10,4.0,clear sky
112,Meleuz,RU,52.9667,55.9167,50.05,44,95,11.39,overcast clouds
113,Xining,CN,36.6167,101.7667,43.88,64,100,4.18,overcast clouds
114,Bengkulu,ID,-3.8004,102.2655,74.97,92,100,5.68,overcast clouds
115,Sagarejo,GE,41.734,45.3315,61.23,59,67,4.72,broken clouds
116,Shintomi,JP,32.0785,131.4723,68.7,80,20,4.41,few clouds
117,Vanimo,PG,-2.6741,141.3028,76.28,90,88,5.41,overcast clouds
118,Biloela,AU,-24.4167,150.5,60.1,88,58,8.1,broken clouds
119,Nemuro,JP,43.3236,145.575,56.35,74,6,11.61,clear sky
120,Mahon,ES,39.8885,4.2658,68.56,73,0,1.14,clear sky
121,Lavrentiya,RU,65.5833,-171.0,34.84,81,18,9.48,few clouds
122,Nizwa,OM,22.9333,57.5333,81.97,55,37,10.8,scattered clouds
123,Kautokeino,NO,69.0125,23.0412,33.75,87,13,2.86,few clouds
124,Gilbues,BR,-9.8317,-45.3439,97.72,18,10,8.48,clear sky
125,Flinders,AU,-34.5833,150.8552,48.25,91,2,3.0,clear sky
126,Locri,IT,38.2414,16.2623,65.32,74,0,12.24,clear sky
127,Salinopolis,BR,-0.6136,-47.3561,82.08,74,68,12.84,broken clouds
128,Port Hardy,CA,50.6996,-127.4199,53.78,100,75,3.44,mist
129,Dingle,PH,10.9995,122.6711,76.3,92,100,5.79,overcast clouds
130,Saint George,US,37.1041,-113.5841,84.43,50,0,13.8,clear sky
131,Mareeba,AU,-17.0,145.4333,66.92,93,63,1.59,broken clouds
132,Washington,US,47.5001,-120.5015,83.19,25,2,5.28,clear sky
133,Vila,PT,42.0304,-8.1588,63.48,66,100,3.49,overcast clouds
134,Hoopstad,ZA,-27.8327,25.9083,65.77,14,0,2.06,clear sky
135,Caravelas,BR,-17.7125,-39.2481,75.79,78,23,8.55,few clouds
136,Nabire,ID,-3.3667,135.4833,74.7,89,77,2.93,broken clouds
137,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,80,20,2.24,few clouds
138,Thompson,CA,55.7435,-97.8558,69.96,40,40,19.57,scattered clouds
139,Sola,VU,-13.8833,167.55,68.67,94,0,0.0,clear sky
140,Ludvika,SE,60.1496,15.1878,49.77,96,100,2.86,light rain
141,Paamiut,GL,61.994,-49.6678,37.26,70,19,17.96,few clouds
142,Flin Flon,CA,54.7682,-101.865,64.24,55,75,12.66,broken clouds
143,Shaki,AZ,41.0833,47.1667,65.41,56,43,5.91,scattered clouds
144,Pacific Grove,US,36.6177,-121.9166,70.41,67,40,8.05,scattered clouds
145,Meulaboh,ID,4.1363,96.1285,75.96,86,100,2.98,overcast clouds
146,Bandarbeyla,SO,9.4942,50.8122,77.02,83,100,25.37,overcast clouds
147,Khash,IR,28.2211,61.2158,65.97,25,0,3.91,clear sky
148,Tres Arroyos,AR,-38.3739,-60.2798,59.92,37,69,13.2,broken clouds
149,Luderitz,NA,-26.6481,15.1594,62.1,65,0,13.65,clear sky
150,Tazovskiy,RU,67.4667,78.7,34.09,80,100,12.59,overcast clouds
151,Alcacer Do Sal,PT,38.3733,-8.5144,73.72,27,0,2.77,clear sky
152,Sahuaripa,MX,29.05,-109.2333,88.05,39,5,3.13,clear sky
153,Morrope,PE,-6.5417,-80.0111,69.91,55,19,14.23,few clouds
154,Hofn,IS,64.2539,-15.2082,46.58,66,96,7.09,overcast clouds
155,Mao,ES,39.8885,4.2658,68.56,73,0,1.14,clear sky
156,Molo,KE,-0.2479,35.7374,55.0,76,99,0.54,overcast clouds
157,Roswell,US,34.0232,-84.3616,79.57,54,40,10.36,scattered clouds
158,Jamestown,US,42.097,-79.2353,62.53,68,75,13.8,broken clouds
159,Isabela,PH,6.7085,121.9711,78.6,86,100,2.62,overcast clouds
160,San Patricio,US,28.017,-97.5169,85.15,37,100,7.99,overcast clouds
161,Surt,LY,31.2089,16.5887,76.59,68,2,13.27,clear sky
162,Codrington,AU,-38.2667,141.9667,45.79,89,100,4.29,overcast clouds
163,Jutai,BR,-5.1833,-68.9,77.52,83,100,2.89,overcast clouds
164,Leningradskiy,RU,69.3833,178.4167,25.56,80,100,3.0,overcast clouds
165,Sinop,TR,41.7711,34.8709,58.96,89,100,7.45,light rain
166,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,94,75,19.08,light intensity shower rain
167,Aklavik,CA,68.2191,-135.0107,28.4,86,100,5.75,fog
168,Vanavara,RU,60.34,102.2797,27.43,83,100,5.77,overcast clouds
169,Nybro,SE,56.7446,15.9071,52.25,88,99,9.31,overcast clouds
170,Saint-Pierre,RE,-21.3393,55.4781,67.68,73,0,5.75,clear sky
171,Kruisfontein,ZA,-34.0033,24.7314,62.89,91,0,9.17,clear sky
172,Ancud,CL,-41.8697,-73.8203,59.11,57,100,3.91,overcast clouds
173,Baza,ES,37.4907,-2.7726,76.42,48,92,1.01,overcast clouds
174,Maningrida,AU,-12.0667,134.2667,80.37,76,100,7.63,overcast clouds
175,Ola,RU,59.5833,151.2833,30.15,58,100,9.1,overcast clouds
176,Socorro,US,31.6546,-106.3033,80.06,35,75,8.05,broken clouds
177,Kamina,CD,-8.7386,24.9906,69.12,81,94,11.14,overcast clouds
